Year,State,Employer Category,Total
2016,Johor,Large,82124
2016,Johor,SME,121576
2016,Kedah,Large,33629
2016,Kedah,SME,41064
2016,Kelantan,Large,7158
2016,Kelantan,SME,7478
2016,Melaka,Large,27500
2016,Melaka,SME,22591
2016,Negeri Sembilan,Large,23496
2016,Negeri Sembilan,SME,24906
2016,Pahang,Large,23154
2016,Pahang,SME,18051
2016,Perak,Large,28787
2016,Perak,SME,49536
2016,Perlis,Large,1889
2016,Perlis,SME,3022
2016,Pulau Pinang,Large,106022
2016,Pulau Pinang,SME,76480
2016,Sabah,Large,24123
2016,Sabah,SME,35642
2016,Sarawak,Large,34415
2016,Sarawak,SME,42133
2016,Selangor,Large,335323
2016,Selangor,SME,237738
2016,Terengganu,Large,8054
2016,Terengganu,SME,13402
2016,Wilayah Persekutuan Kuala Lumpur,Large,265315
2016,Wilayah Persekutuan Kuala Lumpur,SME,92510
2016,Wilayah Persekutuan Labuan,Large,1586
2016,Wilayah Persekutuan Labuan,SME,1339
2016,Wilayah Persekutuan Putrajaya,Large,1772
2016,Wilayah Persekutuan Putrajaya,SME,255
2017,Johor,Large,86261
2017,Johor,SME,140916
2017,Kedah,Large,34149
2017,Kedah,SME,46804
2017,Kelantan,Large,7242
2017,Kelantan,SME,8797
2017,Melaka,Large,27432
2017,Melaka,SME,25821
2017,Negeri Sembilan,Large,23741
2017,Negeri Sembilan,SME,27128
2017,Pahang,Large,23306
2017,Pahang,SME,19905
2017,Perak,Large,28307
2017,Perak,SME,57838
2017,Perlis,Large,2592
2017,Perlis,SME,2331
2017,Pulau Pinang,Large,103218
2017,Pulau Pinang,SME,92174
2017,Sabah,Large,26643
2017,Sabah,SME,37759
2017,Sarawak,Large,38006
2017,Sarawak,SME,46121
2017,Selangor,Large,347876
2017,Selangor,SME,258358
2017,Terengganu,Large,8403
2017,Terengganu,SME,13783
2017,Wilayah Persekutuan Kuala Lumpur,Large,263737
2017,Wilayah Persekutuan Kuala Lumpur,SME,109821
2017,Wilayah Persekutuan Labuan,Large,1492
2017,Wilayah Persekutuan Labuan,SME,1433
2017,Wilayah Persekutuan Putrajaya,Large,1927
2017,Wilayah Persekutuan Putrajaya,SME,300
2018,Johor,Large,87303
2018,Johor,SME,139917
2018,Kedah,Large,34544
2018,Kedah,SME,47436
2018,Kelantan,Large,7192
2018,Kelantan,SME,9105
2018,Melaka,Large,27156
2018,Melaka,SME,28860
2018,Negeri Sembilan,Large,24052
2018,Negeri Sembilan,SME,27357
2018,Pahang,Large,23936
2018,Pahang,SME,20437
2018,Perak,Large,29222
2018,Perak,SME,60207
2018,Perlis,Large,2634
2018,Perlis,SME,2336
2018,Pulau Pinang,Large,103291
2018,Pulau Pinang,SME,98166
2018,Sabah,Large,27016
2018,Sabah,SME,39614
2018,Sarawak,Large,37796
2018,Sarawak,SME,48688
2018,Selangor,Large,347779
2018,Selangor,SME,268069
2018,Terengganu,Large,8407
2018,Terengganu,SME,14263
2018,Wilayah Persekutuan Kuala Lumpur,Large,269785
2018,Wilayah Persekutuan Kuala Lumpur,SME,107502
2018,Wilayah Persekutuan Labuan,Large,1492
2018,Wilayah Persekutuan Labuan,SME,1466
2018,Wilayah Persekutuan Putrajaya,Large,1716
2018,Wilayah Persekutuan Putrajaya,SME,563
